cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Maíz,Tercer Trimestre,Control Químico,21.0,4.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Sorgo,Tercer Trimestre,Control Químico,50.0,5.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosí,Caña de azúcar,Tercer Trimestre,Control Químico,1156.0,108.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosí,Pastos,Tercer Trimestre,Control Químico,327.0,16.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosí,Sorgo,Tercer Trimestre,Control Químico,50.0,5.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Tabasco,Pasto,Tercer Trimestre,Control Químico,47.0,8.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Tamaulipas,Caña de azúcar,Tercer Trimestre,Control Químico,198.0,9.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Tamaulipas,Pastos,Tercer Trimestre,Control Químico,244.0,6.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Veracruz,Caña de azúcar,Tercer Trimestre,Control Químico,104.0,19.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Veracruz,Pasto,Tercer Trimestre,Control Químico,337.0,18.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Yucatán,Maíz,Tercer Trimestre,Control Químico,7.0,2.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Yucatán,Pasto,Tercer Trimestre,Control Químico,311.0,14.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California,Limón,Tercer Trimestre,Control Químico (Sales Potásicas),16.0,2.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California,Naranja,Tercer Trimestre,Control Químico (Sales Potásicas),15.0,10.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Tercer Trimestre,Control Biológico (Tamarixia radiata),80.0,7.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Campache,Limón,Tercer Trimestre,Control Químico (Aceite Parafínico),1126.0,350.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Campache,Mandarina,Tercer Trimestre,Control Químico (Aceite Parafínico),16.0,7.0
